Symbol	Length	LTL_S1	LTL_S2	LTL_S3
SGIP1	9017	99	135	181
SLC45A1	2827	6	7	13
NECAP2	2533	689	845	786
CLIC4	4390	3488	2854	2723
ADC	6340	96	151	141
AGBL4	4423	17	22	15
DAB1	6636	24	31	40
TGFBR3	7055	630	291	1494
DBT	11314	861	1212	1054
PRUNE	3076	304	331	353
RP11-550P17.5	1067	0	0	0
RFWD2	3053	726	896	819
C1orf21	10359	81	174	206
RP1-272L16.1	870	0	2	0
LIN9	3965	94	126	135
C1orf159	3472	135	141	147
PRKCZ	2630	286	363	284
PRDM16	8923	5	7	24
ICMT	4844	1897	2121	1725
CAMTA1	9406	389	534	469
RP5-1056L3.1	209	5	3	2
PINK1	4790	302	386	333
PINK1-AS	4446	77	102	90
USP48	7103	758	859	1037
EPHB2	6002	307	528	395
STMN1	4486	2637	3273	3623
NUDC	2157	562	787	601
EYA3	6346	964	1152	1212
EPB41	7980	918	1053	1115
PUM1	5752	2645	3269	3050
KHDRBS1	2849	1056	1374	1680
CSMD2	17889	20	5	35
SFPQ	6595	5608	8543	7188
THRAP3	4698	2556	2936	2859
RP5-1180C18.1	600	0	1	0
MACF1	28274	4246	4476	5858
CCDC30	4958	420	514	435
PTPRF	8448	5452	6907	6557
RNF220	5609	626	735	557
GPBP1L1	5239	2090	2805	2554
TRABD2B	7041	223	275	453
FAF1	4654	497	690	641
RAB3B	12849	667	1058	888
SCP2	6554	1348	1702	1368
TCEANC2	5832	199	250	250
USP24	10836	2349	2545	3035
FGGY	2278	325	328	325
NFIA	10373	142	98	356
USP1	4265	631	755	891
ITGB3BP	1668	117	207	205
CACHD1	5923	1816	2270	2205
LEPR	11078	235	364	354
LRRC7	11215	11	18	66
NEGR1	13067	34	32	59
ST6GALNAC3	7231	304	94	820
PIGK	5524	771	1199	898
LPHN2	6762	1022	1553	2136
DDAH1	4527	2467	2590	2101
CLCA4	3663	0	1	0
RP11-76N22.2	3598	7	19	17
LRRC8C	9823	20	26	76
RP11-302M6.4	658	0	0	0
FAM69A	2579	42	71	79
GCLM	4991	186	219	207
RP4-639F20.1	1017	40	68	68
RP11-147C23.1	1176	0	0	0
RP11-202K23.1	663	0	0	0
NTNG1	5872	87	25	180
GNAI3	3215	1783	2273	1856
KCNA2	4019	0	0	0
RAP1A	5739	283	339	344
RHOC	2932	1564	1414	1513
RP11-426L16.10	933	1	0	0
PHTF1	5986	405	507	567
WDR3	10303	565	712	651
NOTCH2	15935	4542	6340	6517
RP6-206I17.1	2214	29	31	32
PDZK1	2169	3285	3415	2683
RP11-495P10.2	2214	2	4	2
OTUD7B	12196	1053	1044	1064
SPRR2B	707	0	0	0
TPM3	6800	2947	3714	3227
SMG5	4619	2044	2576	2371
FCGR2A	2675	3	9	16
PBX1	9874	1295	1666	1614
RP11-466F5.6	1220	3	1	1
MROH9	3719	13	14	55
DNM3	10646	352	524	369
RP1-15D23.2	813	0	1	2
TNFSF18	2011	2	0	17
TNN	5027	37	22	24
BRINP2	3882	1	17	12
RASAL2	11585	738	1062	1036
SOAT1	6967	781	991	868
ACBD6	2252	373	561	413
RGSL1	3891	0	0	0
SMG7	6307	584	809	984
PTGS2	4805	2	4	6
RP11-541F9.2	2057	0	0	0
ZBTB41	8573	955	1362	1313
NEK7	4691	1192	1557	1294
RP11-382E9.1	2300	3	0	0
PPP1R12B	16050	438	477	512
SRGAP2	6233	169	191	290
HHAT	4312	229	303	276
RP11-354K1.2	587	0	0	0
BATF3	2673	0	1	3
RP11-323I1.1	349	0	0	0
USH2A	20340	21	28	39
ESRRG	10086	526	625	549
EPRS	5171	1833	2550	2136
RP11-400N13.1	679	0	0	0
DNAH14	16005	966	1118	1066
TRIM11	7909	299	347	353
NUP133	5084	1231	1642	1561
TSNAX-DISC1	3571	1	3	1
LINC00582	599	0	1	1
LYST	17274	322	497	508
MTR	11435	2087	3264	2971
RP11-193H5.1	3139	0	0	1
RGS7	3352	3	10	0
KIF26B	14393	63	133	436
SMYD3	2716	123	160	173
ZNF496	10475	909	1032	1119
OR14C36	940	0	0	0
AP006222.2	2261	5	10	3
RP5-857K21.2	609	0	0	0
RP5-857K21.4	752	3	0	5
RP11-206L10.11	6611	161	168	155
FAM132A	1044	257	344	407
AURKAIP1	1671	554	539	424
CDK11B	2545	118	121	126
