Gene	Day0	Day10	Day14	Day18	Day20	Day22	Day25
JAG1	-2.20527575	0.54069094	0.382972662	0.755626071	0.31600522	0.154326394	0.055654462
NPHS1	-1.595162965	-1.189241806	-0.048408069	0.732055273	0.61695632	0.6383569	0.845444347
CUBN	-1.753519692	-0.809582827	-0.27283695	0.640196836	0.619462534	0.505837869	1.070442229
GATA3	-0.702989622	-1.657417939	-0.668255381	0.72274898	0.861402234	0.769790842	0.674720887
MAFB	-1.409707324	-1.354266398	-0.038398945	0.743084677	0.48274576	0.515093247	1.061448984
SOX17	-1.961893535	-0.59356374	0.013155168	0.79487302	0.791756543	0.681706623	0.273965921
EPCAM	1.184072109	-1.773583146	-0.847058938	0.022459264	0.271242385	0.633548429	0.509319898
WT1	-2.190913373	-0.04546418	0.234222409	0.623685887	0.30981928	0.325766836	0.742883141
SIX1	-1.176560598	0.855594684	0.578916493	-0.719279908	-0.419924399	-0.669894284	1.551148011
LHX1	-2.254804395	0.404560296	0.482738189	0.530948073	0.320864866	0.283558423	0.232134548
MEIS1	-2.189671919	0.024038264	0.305983794	0.240131117	0.297199609	0.447994777	0.874324359
MEIS1_2	-2.125512601	-0.077248457	0.054063732	0.369280337	0.34503443	0.409650565	1.024731994
CITED1	-0.891450941	1.911840653	0.76869345	-0.33721832	-0.63822629	-0.638377128	-0.175261423
GDNF	-0.313672215	1.350621922	-0.018040495	-1.82301291	0.224159002	-0.227383162	0.807327859
CDX2	-0.907666277	1.738649144	0.974809768	0.024301326	-0.389909499	-0.63854045	-0.801644012
PAX2	-2.157900875	0.494072731	0.89840387	0.346096244	-0.00526834	0.009474331	0.415122038
