SampleID	Age	Geno	Run	Vial	TechRep	Time
PE1613.1_SC6_Day_0_S2	0	SC6	run1	1	1	1
PE1613.1_SC6_Day_18_1_S4	18	SC6	run1	1	2	1
PE1613.1_SC6_Day_18_2_S5	18	SC6	run1	1	3	1
PE1613.1_SC6_Day_7_S3	7	SC6	run1	1	4	1
PE1613.2_SC6_Day_0_S6	0	SC6	run1	2	5	1
PE1613.2_SC6_Day_18_1_S8	18	SC6	run1	2	6	1
PE1613.2_SC6_Day_18_2_S9	18	SC6	run1	2	7	1
PE1613.2_SC6_Day_7_S7	7	SC6	run1	2	8	1
PE1613.3_SC6_Day_0_S10	0	SC6	run1	3	9	1
PE1613.3_SC6_Day_18_1_S12	18	SC6	run1	3	10	1
PE1613.3_SC6_Day_18_2_S13	18	SC6	run1	3	11	1
PE1613.3_SC6_Day_7_S11	7	SC6	run1	3	12	1
PE1613_C32_Day_18_1_S17	18	C32	run1	4	13	1
PE1613_C32_Day_18_2_S18	18	C32	run1	4	14	1
PE1613_C32_Day_18_3_S19	18	C32	run1	4	15	1
PE1614_C32_Day_18_4_S22	18	C32	run1	5	16	2
PE1614_C32_Day_18_5_S23	18	C32	run1	5	17	2
PE1614_C32_Day_18_6_S24	18	C32	run1	5	18	2
PE1613_C32_Day_7_1_S14	7	C32	run1	4	19	1
PE1613_C32_Day_7_2_S15	7	C32	run1	4	20	1
PE1613_C32_Day_7_3_S16	7	C32	run1	4	21	1
PE1614_C32_Day_7_4_S20	7	C32	run1	5	22	2
PE1614_C32_Day_7_5_S21	7	C32	run1	5	23	2
PE1613.1_SC6_Day_0_S1	0	SC6	run2	1	1	1
PE1613.1_SC6_Day_18_1_S3	18	SC6	run2	1	2	1
PE1613.1_SC6_Day_18_2_S4	18	SC6	run2	1	3	1
PE1613.1_SC6_Day_7_S2	7	SC6	run2	1	4	1
PE1613.2_SC6_Day_0_S5	0	SC6	run2	2	5	1
PE1613.2_SC6_Day_18_1_S7	18	SC6	run2	2	6	1
PE1613.2_SC6_Day_18_2_S8	18	SC6	run2	2	7	1
PE1613.2_SC6_Day_7_S6	7	SC6	run2	2	8	1
PE1613.3_SC6_Day_0_S9	0	SC6	run2	3	9	1
PE1613.3_SC6_Day_18_1_S11	18	SC6	run2	3	10	1
PE1613.3_SC6_Day_18_2_S12	18	SC6	run2	3	11	1
PE1613.3_SC6_Day_7_S10	7	SC6	run2	3	12	1
PE1613_C32_Day_18_1_S16	18	C32	run2	4	13	1
PE1613_C32_Day_18_2_S17	18	C32	run2	4	14	1
PE1613_C32_Day_18_3_S18	18	C32	run2	4	15	1
PE1613_C32_Day_18_4_S21	18	C32	run2	5	16	2
PE1613_C32_Day_18_5_S22	18	C32	run2	5	17	2
PE1613_C32_Day_18_6_S23	18	C32	run2	5	18	2
PE1613_C32_Day_7_1_S13	7	C32	run2	4	19	1
PE1613_C32_Day_7_2_S14	7	C32	run2	4	20	1
PE1613_C32_Day_7_3_S15	7	C32	run2	4	21	1
PE1613_C32_Day_7_4_S19	7	C32	run2	5	22	2
PE1613_C32_Day_7_5_S20	7	C32	run2	5	23	2
